Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
798	040220-08-4	O=C1N(CCOC(=O)C=C)C(=O)N(C(=O)N1CCOC(=O)C=C)CCOC(=O)C=C	Training	1.794	1.791526
799	000314-40-9	N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C	Training	0.149	0.318166
800	000077-71-4	O=C(NC(C1=O)(C)C)N1	Training	-2.109	-0.497553
801	000057-43-2	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	Training	0.423	0.540836
802	005217-47-0	O=C(N(C(N(C1=O)CC)=S)CC)C1	Test	-1.353	-1.595875
803	000309-43-3	C1(=O)NC(=O)NC(=O)C1(C(CCC)C)CC=C	Test	1.043	0.540836
804	000071-73-8	C1(=O)N=C(S)NC(=O)C1(C(CCC)C)CC	Training	1.004	1.061067
805	006165-51-1	c(cccc1)(c1)C(c(c(ccc2C)C)c2)C	Training	2.832	2.781669
806	000901-44-0	O(c(ccc(c1)C(c(ccc(OCCO)c2)c2)(C)C)c1)CCO	Training	1.178	1.220001
807	000115-32-3	OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl	Test	2.954	2.785137
808	003923-52-2	c1ccccc1C(C#C)(O)c1ccccc1	Test	1.273	0.952019
809	000101-84-8	O(c(cccc1)c1)c(cccc2)c2	Test	1.742	1.568389
810	000103-50-4	O(Cc(cccc1)c1)Cc(cccc2)c2	Test	1.465	0.952019
811	068972-96-3	c1ccccc1COCC=CCOCc2ccccc2	Training	1.766	1.686899
812	000080-43-3	O(OC(c(cccc1)c1)(C)C)C(c(cccc2)c2)(C)C	Training	2.76	2.389605
813	000330-93-8	Fc2ccc(Oc1ccc(F)cc1)cc2	Test	2.25	1.776264
814	013826-35-2	O(c(cccc1CO)c1)c(cccc2)c2	Training	1.722	1.715864
815	000067-36-7	O=Cc2ccc(Oc1ccccc1)cc2	Training	1.632	1.577919
816	069770-23-6	CC(C)(C)c2ccc(Oc1cccc(C=O)c1)cc2	Test	2.839	1.271552
817	079124-76-8	Clc2ccc(Oc1cccc(C=O)c1)cc2Cl	Training	2.95	2.901985
818	000119-61-9	O=C(c(cccc1)c1)c(cccc2)c2	Test	1.08	1.171415
819	000620-92-8	Oc(ccc(c1)Cc(ccc(O)c2)c2)c1	Training	1.188	1.227127
820	000599-64-4	Oc(ccc(c1)C(c(cccc2)c2)(C)C)c1	Test	2.248	1.705344
821	000080-05-7	Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1	Training	1.578	1.6202
822	006807-17-6	CC(c1ccc(cc1)O)(c2ccc(cc2)O)CC(C)C	Test	2.001	1.6202
823	000070-30-4	Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl	Test	4.289	2.810168
824	000097-23-4	Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1	Test	2.94	2.315699
825	000079-95-8	Oc(c(cc(c1)C(c(cc(c(O)c2Cl)Cl)c2)(C)C)Cl)c1Cl	Training	2.44	2.440966
826	000079-94-7	Oc(c(cc(c1)C(c(cc(c(O)c2Br)Br)c2)(C)C)Br)c1Br	Training	1.772	1.738026
827	000101-77-9	Nc(ccc(c1)Cc(ccc(N)c2)c2)c1	Test	0.975	1.227127
828	000101-14-4	Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1	Test	2.641	3.008318
829	000831-82-3	O(c(ccc(O)c1)c1)c(cccc2)c2	Training	1.579	1.540864
830	001965-09-9	O(c(ccc(O)c1)c1)c(ccc(O)c2)c2	Test	1.588	1.227127
831	003380-34-5	O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2	Training	2.636	2.646419
832	001484-26-0	Nc2cccc(Oc1ccccc1)c2	Training	1.34	0.738699
833	000620-88-2	c1ccccc1Oc2ccc([N+](=O)[O-])cc2	Test	1.91	1.175447
834	039145-47-6	[O-][N+](=O)c1c(Oc2c(Cl)cccc2)cccc1	Training	2.112	1.926589
835	000131-57-7	O=C(c(cccc1)c1)c(c(O)cc(OC)c2)c2	Training	1.779	1.926589
836	031127-54-5	Oc1c(O)c(O)c(C(=O)c2ccc(O)cc2)cc1	Training	0.835	0.953595
837	002894-51-1	Nc1ccccc1C(=O)c2ccc(Cl)cc2	Training	2.04	1.987862
838	000118-55-8	O=C(Oc(cccc1)c1)c(c(O)ccc2)c2	Test	2.259	1.175447
839	000133-11-9	Oc1cc(N)ccc1C(=O)Oc2ccccc2	Training	1.744	1.175447
840	000122-39-4	N(c(cccc1)c1)c(cccc2)c2	Training	1.53	1.568389
841	000620-93-9	Cc1ccc(cc1)Nc2ccc(cc2)C	Training	2.662	2.467078
842	000793-24-8	N(c(ccc(Nc(cccc1)c1)c2)c2)C(CC(C)C)C	Test	3.966	1.6202
843	000087-17-2	O=C(Nc(cccc1)c1)c(c(O)ccc2)c2	Test	1.731	1.175447
844	000086-30-6	O=NN(c(cccc1)c1)c(cccc2)c2	Test	1.297	1.052533
845	000097-39-2	N=C(Nc(c(ccc1)C)c1)Nc(c(ccc2)C)c2	Test	1.1	1.694378
846	000102-06-7	N=C(Nc(cccc1)c1)Nc(cccc2)c2	Training	1.094	0.952019
847	000607-00-1	O=CN(c(cccc1)c1)c(cccc2)c2	Training	0.843	0.952019
